Date,Total_Cases
10-Jun-20,444
17-Jun-20,740
24-Jun-20,930
1-Jul-20,1135
8-Jul-20,1459
15-Jul-20,1771
22-Jul-20,1976
29-Jul-20,2055
5-Aug-20,2107
12-Aug-20,2164
19-Aug-20,2212
26-Aug-20,2265
2-Sep-20,2305
9-Sep-20,2356
16-Sep-20,2451
23-Sep-20,2591
30-Sep-20,2731
7-Oct-20,2937
14-Oct-20,3258
21-Oct-20,3639
28-Oct-20,3938
4-Nov-20,4491
11-Nov-20,5041
18-Nov-20,5690
25-Nov-20,6403
2-Dec-20,7067
9-Dec-20,7517
16-Dec-20,7833
23-Dec-20,8065
30-Dec-20,8256
6-Jan-21,8416
13-Jan-21,8540
20-Jan-21,8706
27-Jan-21,8931
3-Feb-21,9100
10-Feb-21,9334
17-Feb-21,9629
24-Feb-21,10022
3-Mar-21,10371
10-Mar-21,10730
17-Mar-21,11264
24-Mar-21,12016
31-Mar-21,12805
6-Apr-21,13713
13-Apr-21,14837
20-Apr-21,15873
27-Apr-21,16931
4-May-21,17379
11-May-21,18056
18-May-21,18360
25-May-21,18940
1-Jun-21,19287
6-Jun-21,19519
